
{'date': 'Junior September Early', 'grade': 'Pre-OP', 'name': 'Aster Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'New Year Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'Pollux Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'Yodo Tankyori Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Late', 'grade': 'OP', 'name': 'Shirafuji Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Late', 'grade': 'OP', 'name': 'Subaru Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Early', 'grade': 'OP', 'name': 'Aldebaran Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1900, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Early', 'grade': 'OP', 'name': 'Rakuyo Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Early', 'grade': 'OP', 'name': 'Valentine Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Early', 'grade': 'OP', 'name': 'Yamato Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Late', 'grade': 'OP', 'name': 'Kitakyushu Tankyori Stakes', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior February Late', 'grade': 'OP', 'name': 'Sobu Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Early', 'grade': 'OP', 'name': 'Kochi Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Early', 'grade': 'OP', 'name': 'Nigawa Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Early', 'grade': 'OP', 'name': 'Osakajo Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Early', 'grade': 'OP', 'name': 'Polaris Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Late', 'grade': 'OP', 'name': 'Chiba Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior March Late', 'grade': 'OP', 'name': 'Rokko Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Early', 'grade': 'OP', 'name': 'Azumakofuji Stakes', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Early', 'grade': 'OP', 'name': 'Coral Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Early', 'grade': 'OP', 'name': 'Fukushima Mimpo Hai', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Early', 'grade': 'OP', 'name': 'Keiyo Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Early', 'grade': 'OP', 'name': 'Shunrai Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Late', 'grade': 'OP', 'name': 'Oasis Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior April Late', 'grade': 'OP', 'name': 'Tennozan Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Brilliant Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 2100, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Kurama Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Metropolitan Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2400, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Miyakooji Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Ritto Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Early', 'grade': 'OP', 'name': 'Tanigawadake Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Late', 'grade': 'OP', 'name': 'Azuchijo Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Late', 'grade': 'OP', 'name': 'Idaten Stakes', 'racetrack': 'Niigata', 'direction': '?', 'terrain': 'Turf', 'distance': 1000, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Late', 'grade': 'OP', 'name': 'Keyaki Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior May Late', 'grade': 'OP', 'name': 'May Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Early', 'grade': 'OP', 'name': 'Sleipnir Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 2100, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Early', 'grade': 'OP', 'name': 'Tempozan Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Late', 'grade': 'OP', 'name': 'Akhalteke Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Late', 'grade': 'OP', 'name': 'Onuma Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Late', 'grade': 'OP', 'name': 'Paradise Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Late', 'grade': 'OP', 'name': 'Sannomiya Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior June Late', 'grade': 'OP', 'name': 'Yonago Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Senior July Early', 'grade': 'OP', 'name': 'Marine Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior July Early', 'grade': 'OP', 'name': 'Meitetsu Hai', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior July Early', 'grade': 'OP', 'name': 'Tomoe Sho', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior July Late', 'grade': 'OP', 'name': 'Fukushima TV Open', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Early', 'grade': 'OP', 'name': 'Aso Stakes', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Early', 'grade': 'OP', 'name': 'Kanetsu Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Early', 'grade': 'OP', 'name': 'Sapporo Nikkei Open', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 2600, 'race-type': 'Long', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Early', 'grade': 'OP', 'name': 'UHB Sho', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Late', 'grade': 'OP', 'name': 'BSN Sho', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Late', 'grade': 'OP', 'name': 'Kokura Nikkei Open', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Late', 'grade': 'OP', 'name': 'NST Sho', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior August Late', 'grade': 'OP', 'name': 'Toki Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Senior September Early', 'grade': 'OP', 'name': 'Enif Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior September Early', 'grade': 'OP', 'name': 'Radio Nippon Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior September Early', 'grade': 'OP', 'name': 'Tancho Stakes', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 2600, 'race-type': 'Long', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior September Late', 'grade': 'OP', 'name': 'Nagatsuki Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior September Late', 'grade': 'OP', 'name': 'Port Island Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Early', 'grade': 'OP', 'name': 'Green Channel Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Early', 'grade': 'OP', 'name': 'October Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Early', 'grade': 'OP', 'name': 'Opal Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Early', 'grade': 'OP', 'name': 'Shinetsu Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Early', 'grade': 'OP', 'name': 'Uzumasa Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Late', 'grade': 'OP', 'name': 'Brazil Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 2100, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Late', 'grade': 'OP', 'name': 'Cassiopeia Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Late', 'grade': 'OP', 'name': 'Lumiere Autumn Dash', 'racetrack': 'Niigata', 'direction': '?', 'terrain': 'Turf', 'distance': 1000, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior October Late', 'grade': 'OP', 'name': 'Muromachi Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Early', 'grade': 'OP', 'name': 'Oro Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Late', 'grade': 'OP', 'name': 'Andromeda Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Late', 'grade': 'OP', 'name': 'Autumn Leaf Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Late', 'grade': 'OP', 'name': 'Capital Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Late', 'grade': 'OP', 'name': 'Fukushima Minyu Cup', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior November Late', 'grade': 'OP', 'name': 'Shimotsuki Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Early', 'grade': 'OP', 'name': 'December Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Early', 'grade': 'OP', 'name': 'Lapis Lazuli Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Early', 'grade': 'OP', 'name': 'Rigel Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Early', 'grade': 'OP', 'name': 'Shiwasu Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Early', 'grade': 'OP', 'name': 'Tanzanite Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Late', 'grade': 'OP', 'name': 'Betelgeuse Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior December Late', 'grade': 'OP', 'name': 'Galaxy Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Junior July Late', 'grade': 'G3', 'name': 'Hakodate Junior Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior August Late', 'grade': 'G3', 'name': 'Niigata Junior Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Early', 'grade': 'G3', 'name': 'Kokura Junior Stakes', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior September Early', 'grade': 'G3', 'name': 'Sapporo Junior Stakes', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Early', 'grade': 'G3', 'name': 'Saudi Arabia Royal Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Late', 'grade': 'G3', 'name': 'Artemis Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'G3', 'name': 'Fantasy Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'G3', 'name': 'Kyoto Junior Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Late', 'grade': 'G3', 'name': 'Tokyo Sports Hai Junior Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Early', 'grade': 'G3', 'name': 'Fairy Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Early', 'grade': 'G3', 'name': 'Keisei Hai', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Early', 'grade': 'G3', 'name': 'Shinzan Kinen', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Early', 'grade': 'G3', 'name': 'Kisaragi Sho', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Early', 'grade': 'G3', 'name': 'Kyodo News Hai', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Early', 'grade': 'G3', 'name': 'Queen Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Late', 'grade': 'G3', 'name': 'Falcon Stakes', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Late', 'grade': 'G3', 'name': 'Flower Cup', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Late', 'grade': 'G3', 'name': 'Mainichi Hai', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Early', 'grade': 'G3', 'name': 'Arlington Cup', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic May Late', 'grade': 'G3', 'name': 'Aoi Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Early', 'grade': 'G3', 'name': 'Epsom Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Early', 'grade': 'G3', 'name': 'Mermaid Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Early', 'grade': 'G3', 'name': 'Naruo Kinen', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'G3', 'name': 'Hakodate Sprint Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'G3', 'name': 'Unicorn Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'G3', 'name': 'CBC Sho', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'G3', 'name': 'Hakodate Kinen', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'G3', 'name': 'Procyon Stakes', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'G3', 'name': 'Radio Nikkei Sho', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'G3', 'name': 'Tanabata Sho', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Late', 'grade': 'G3', 'name': 'Chukyo Kinen', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
