Date                     Grade   Name                            Racetrack  Direction  Terrain  Distance  Race-type  Season  Day       Fans  Slopes
Senior March Late        G3      March Stakes                    Nakayama   right      Dirt         1800  Mile       Spring  Day       3600  up, up, down, up
Senior March Late        OP      Chiba Stakes                    Nakayama   right      Dirt         1200  Sprint     Spring  Day       2200  down, up
Senior March Late        OP      Rokko Stakes                    Hanshin    right      Turf         1600  Mile       Spring  Day       2500  down, up
Senior April Early       G2      Hanshin Umamusume Stakes        Hanshin    right      Turf         1600  Mile       Spring  Day       5500  down, up
Senior April Early       G3      Antares Stakes                  Hanshin    right      Dirt         1800  Mile       Spring  Day       3600  up, down, up
Senior April Early       G3      Lord Derby Challenge Trophy     Nakayama   right      Turf         1600  Mile       Spring  Day       3900  down, up
Senior April Early       OP      Coral Stakes                    Hanshin    right      Dirt         1400  Sprint     Spring  Day       2300  down, up
Senior April Early       OP      Keiyo Stakes                    Nakayama   right      Dirt         1200  Sprint     Spring  Day       2300  down, up
Senior April Early       OP      Shunrai Stakes                  Nakayama   right      Turf         1200  Sprint     Spring  Day       2500  down, up
Senior April Early       OP      Azumakofuji Stakes              Fukushima  right      Dirt         1700  Mile       Spring  Day       2200  down
Senior April Early       OP      Fukushima Mimpo Hai             Fukushima  right      Turf         2000  Medium     Spring  Day       2600  up
Senior April Late        G1      Tenno Sho (Spring)              Kyoto      right      Turf         3200  Long       Spring  Day      15000  up, up, down, up, up, down
Senior April Late        G2      Milers Cup                      Kyoto      right      Turf         1600  Mile       Spring  Day       5900  up, up, down
Senior April Late        G3      Fukushima Umamusume Stakes      Fukushima  right      Turf         1800  Mile       Spring  Day       3800  up
Senior April Late        OP      Oasis Stakes                    Tokyo      left       Dirt         1600  Mile       Spring  Day       2300  down, up
Senior April Late        OP      Tennozan Stakes                 Kyoto      right      Dirt         1200  Sprint     Spring  Day       2200  up, down
Senior May Early         G1      Victoria Mile                   Tokyo      left       Turf         1600  Mile       Spring  Day      10500  up, down, up
Senior May Early         G2      Keio Hai Spring Cup             Tokyo      left       Turf         1400  Sprint     Spring  Day       5900  up, down, up
Senior May Early         G3      Niigata Daishoten               Niigata    left       Turf         2000  Medium     Spring  Day       4100  up, down
Senior May Early         OP      Ritto Stakes                    Kyoto      right      Dirt         1400  Sprint     Spring  Day       2300  up, down
Senior May Early         OP      Kurama Stakes                   Kyoto      right      Turf         1200  Sprint     Spring  Day       2300  up, down
Senior May Early         OP      Brilliant Stakes                Tokyo      left       Dirt         2100  Medium     Spring  Day       2300  down, up
Senior May Early         OP      Miyakooji Stakes                Kyoto      right      Turf         1800  Mile       Spring  Day       2600  up, up, down
Senior May Early         OP      Metropolitan Stakes             Tokyo      left       Turf         2400  Medium     Spring  Day       2600  up, up, down, up, up
Senior May Early         OP      Tanigawadake Stakes             Niigata    left       Turf         1600  Mile       Spring  Day       2500  up, down
Senior May Late          G2      Meguro Kinen                    Tokyo      left       Turf         2500  Long       Spring  Day       5700  up, up, down, up, up
Senior May Late          G3      Heian Stakes                    Kyoto      right      Dirt         1900  Medium     Spring  Day       3600  up, down
Senior May Late          OP      May Stakes                      Tokyo      left       Turf         1800  Mile       Spring  Day       2400  up, down, up
Senior May Late          OP      Idaten Stakes                   Niigata    straight   Turf         1000  Sprint     Spring  Day       2300  up, down
Senior May Late          OP      Keyaki Stakes                   Tokyo      left       Dirt         1400  Sprint     Spring  Day       2200  down, up
Senior May Late          OP      Azuchijo Stakes                 Kyoto      right      Turf         1400  Sprint     Spring  Day       2500  up, up, down
Senior June Early        G1      Yasuda Kinen                    Tokyo      left       Turf         1600  Mile       Spring  Day      13000  up, down, up
Senior June Early        G3      Epsom Cup                       Tokyo      left       Turf         1800  Mile       Spring  Day       4100  up, down, up
Senior June Early        G3      Naruo Kinen                     Hanshin    right      Turf         2000  Medium     Spring  Day       4100  down, up, up, down, down, up, up
Senior June Early        G3      Mermaid Stakes                  Hanshin    right      Turf         2000  Medium     Spring  Day       3600  down, up, up, down, down, up, up
Senior June Early        OP      Sleipnir Stakes                 Tokyo      left       Dirt         2100  Medium     Spring  Day       2200  down, up
Senior June Early        OP      Tempozan Stakes                 Hanshin    right      Dirt         1400  Sprint     Spring  Day       2200  down, up
Senior June Late         G1      Teio Sho                        Ooi        right      Dirt         2000  Medium     Spring  Night     6000  -
Senior June Late         G1      Takarazuka Kinen                Hanshin    right      Turf         2200  Medium     Spring  Day      15000  down, up, down, up
Senior June Late         G3      Hakodate Sprint Stakes          Hakodate   right      Turf         1200  Sprint     Spring  Day       3900  up
Senior June Late         OP      Onuma Stakes                    Hakodate   right      Dirt         1700  Mile       Spring  Day       2300  down, up
Senior June Late         OP      Yonago Stakes                   Hanshin    right      Turf         1600  Mile       Spring  Day       2500  down, up
Senior June Late         OP      Paradise Stakes                 Tokyo      left       Turf         1400  Sprint     Spring  Day       2500  up, down, up
Senior June Late         OP      Akhalteke Stakes                Tokyo      left       Dirt         1600  Mile       Spring  Day       2200  down, up
Senior June Late         OP      Sannomiya Stakes                Hanshin    right      Dirt         1800  Mile       Spring  Day       2200  up, down, up
Senior July Early        G3      CBC Sho                         Chukyo     left       Turf         1200  Sprint     Summer  Day       3900  down, up
Senior July Early        G3      Tanabata Sho                    Fukushima  right      Turf         2000  Medium     Summer  Day       4100  up
Senior July Early        G3      Hakodate Kinen                  Hakodate   right      Turf         2000  Medium     Summer  Day       4100  down, up
Senior July Early        G3      Procyon Stakes                  Chukyo     left       Dirt         1400  Sprint     Summer  Day       3600  down, up
Senior July Early        OP      Tomoe Sho                       Hakodate   right      Turf         1800  Mile       Summer  Day       2400  down, up
Senior July Early        OP      Meitetsu Hai                    Chukyo     left       Dirt         1800  Mile       Summer  Day       2300  up, down, up, up
Senior July Early        OP      Marine Stakes                   Hakodate   right      Dirt         1700  Mile       Summer  Day       2200  down, up
Senior July Late         G3      Chukyo Kinen                    Chukyo     left       Turf         1600  Mile       Summer  Day       3900  down, up
Senior July Late         G3      Queen Stakes                    Sapporo    right      Turf         1800  Mile       Summer  Day       3600  -
Senior July Late         G3      Ibis Summer Dash                Niigata    straight   Turf         1000  Sprint     Summer  Day       3900  up, down
Senior July Late         OP      Fukushima TV Open               Fukushima  right      Turf         1200  Sprint     Summer  Day       2300  up
Senior August Early      G3      Elm Stakes                      Sapporo    right      Dirt         1700  Mile       Summer  Day       3600  -
Senior August Early      G3      Kokura Kinen                    Kokura     right      Turf         2000  Medium     Summer  Day       4100  up
Senior August Early      G3      Sekiya Kinen                    Niigata    left       Turf         1600  Mile       Summer  Day       3900  up, down
Senior August Early      OP      UHB Sho                         Sapporo    right      Turf         1200  Sprint     Summer  Day       2300  -
Senior August Early      OP      Aso Stakes                      Kokura     right      Dirt         1700  Mile       Summer  Day       2200  up
Senior August Early      OP      Kanetsu Stakes                  Niigata    left       Turf         1800  Mile       Summer  Day       2400  up, down
Senior August Early      OP      Sapporo Nikkei Open             Sapporo    right      Turf         2600  Long       Summer  Day       2600  -
Senior August Late       G2      Sapporo Kinen                   Sapporo    right      Turf         2000  Medium     Summer  Day       7000  -
Senior August Late       G3      Keeneland Cup                   Sapporo    right      Turf         1200  Sprint     Summer  Day       4100  -
Senior August Late       G3      Kitakyushu Kinen                Kokura     right      Turf         1200  Sprint     Summer  Day       3900  down
Senior August Late       OP      BSN Sho                         Niigata    left       Dirt         1800  Mile       Summer  Day       2300  -
Senior August Late       OP      NST Sho                         Niigata    left       Dirt         1200  Sprint     Summer  Day       2200  -
Senior August Late       OP      Toki Stakes                     Niigata    left       Turf         1400  Sprint     Summer  Day       2500  -
Senior August Late       OP      Kokura Nikkei Open              Kokura     right      Turf         1800  Mile       Summer  Day       2400  up
Senior September Early   G2      Prix Foy                        Longchamp  right      Turf         2400  Medium     Fall    Day       5000  up, down
Senior September Early   G2      Centaur Stakes                  Hanshin    right      Turf         1200  Sprint     Fall    Day       5900  down, up
Senior September Early   G3      Niigata Kinen                   Niigata    left       Turf         2000  Medium     Fall    Day       4100  up, down
Senior September Early   G3      Keisei Hai Autumn Handicap      Nakayama   right      Turf         1600  Mile       Fall    Day       3900  down, up
Senior September Early   OP      Enif Stakes                     Hanshin    right      Dirt         1400  Sprint     Fall    Day       2300  down, up
Senior September Early   OP      Tancho Stakes                   Sapporo    right      Turf         2600  Long       Fall    Day       2400  -
Senior September Early   OP      Radio Nippon Sho                Nakayama   right      Dirt         1800  Mile       Fall    Day       2200  up, up, down, up
Senior September Late    G1      Sprinters Stakes                Nakayama   right      Turf         1200  Sprint     Fall    Day      13000  down, up
Senior September Late    G2      All Comers                      Nakayama   right      Turf         2200  Medium     Fall    Day       6700  up, up, down, up
Senior September Late    G3      Sirius Stakes                   Hanshin    right      Dirt         2000  Medium     Fall    Day       3600  down, up, down, up
Senior September Late    OP      Nagatsuki Stakes                Nakayama   right      Dirt         1200  Sprint     Fall    Day       2200  down, up
Senior September Late    OP      Port Island Stakes              Hanshin    right      Turf         1600  Mile       Fall    Day       2500  down, up
Senior October Early     G2      Mainichi Okan                   Tokyo      left       Turf         1800  Mile       Fall    Day       6700  up, down, up
Senior October Early     G2      Kyoto Daishoten                 Kyoto      right      Turf         2400  Medium     Fall    Evening   6700  up, up, down
Senior October Early     G2      Fuchu Umamusume Stakes          Tokyo      left       Turf         1800  Mile       Fall    Day       5500  up, down, up
Senior October Early     OP      Opal Stakes                     Kyoto      right      Turf         1200  Sprint     Fall    Day       2500  up, down
Senior October Early     OP      October Stakes                  Tokyo      left       Turf         2000  Medium     Fall    Day       2600  up, down, up
Senior October Early     OP      Uzumasa Stakes                  Kyoto      right      Dirt         1800  Mile       Fall    Day       2200  up, down
Senior October Early     OP      Shinetsu Stakes                 Niigata    left       Turf         1400  Sprint     Fall    Day       2500  -
Senior October Early     OP      Green Channel Cup               Tokyo      left       Dirt         1400  Sprint     Fall    Day       2300  down, up
Senior October Late      G1      Tenno Sho (Autumn)              Tokyo      left       Turf         2000  Medium     Fall    Day      15000  up, down, up
Senior October Late      G2      Fuji Stakes                     Tokyo      left       Turf         1600  Mile       Fall    Day       5900  up, down, up
Senior October Late      G2      Swan Stakes                     Kyoto      right      Turf         1400  Sprint     Fall    Day       5900  up, up, down
Senior October Late      OP      Brazil Cup                      Tokyo      left       Dirt         2100  Medium     Fall    Day       2300  down, up
Senior October Late      OP      Muromachi Stakes                Kyoto      right      Dirt         1200  Sprint     Fall    Day       2200  up, down
Senior October Late      OP      Cassiopeia Stakes               Kyoto      right      Turf         1800  Mile       Fall    Day       2600  up, up, down
Senior October Late      OP      Lumiere Autumn Dash             Niigata    straight   Turf         1000  Sprint     Fall    Day       2500  up, down
Senior November Early    G1      JBC Sprint                      Ooi?       right      Dirt         1200  Sprint     Fall    Evening   6000  -
Senior November Early    G1      JBC Classic                     Ooi?       right      Dirt         2000  Medium     Fall    Evening   8000  -
Senior November Early    G1      JBC Ladies’ Classic             Ooi?       right      Dirt         1800  Mile       Fall    Evening   4100  -
Senior November Early    G1      Queen Elizabeth II Cup          Kyoto      right      Turf         2200  Medium     Fall    Day      10500  up, up, down
Senior November Early    G2      Copa Republica Argentina        Tokyo      left       Turf         2500  Long       Fall    Day       5700  up, up, down, up, up
Senior November Early    G3      Miyako Stakes                   Kyoto      right      Dirt         1800  Mile       Fall    Day       3800  up, down
Senior November Early    G3      Fukushima Kinen                 Fukushima  right      Turf         2000  Medium     Fall    Day       4100  up
Senior November Early    G3      Musashino Stakes                Tokyo      left       Dirt         1600  Mile       Fall    Day       3800  down, up
Senior November Early    OP      Oro Cup                         Tokyo      left       Turf         1400  Sprint     Fall    Day       2500  up, down, up
Senior November Late     G1      Japan Cup                       Tokyo      left       Turf         2400  Medium     Fall    Day      30000  up, up, down, up, up
Senior November Late     G1      Mile Championship               Kyoto      right      Turf         1600  Mile       Fall    Day      11000  up, up, down
Senior November Late     G3      Keihan Hai                      Kyoto      right      Turf         1200  Sprint     Fall    Day       3900  up, down
Senior November Late     OP      Capital Stakes                  Tokyo      left       Turf         1600  Mile       Fall    Day       2500  up, down, up
Senior November Late     OP      Andromeda Stakes                Kyoto      right      Turf         2000  Medium     Fall    Day       2600  up, down
Senior November Late     OP      Shimotsuki Stakes               Tokyo      left       Dirt         1400  Sprint     Fall    Day       2200  down, up
Senior November Late     OP      Autumn Leaf Stakes              Kyoto      right      Dirt         1200  Sprint     Fall    Day       2200  up, down
Senior November Late     OP      Fukushima Minyu Cup             Fukushima  right      Dirt         1700  Mile       Fall    Day       2300  down
Senior December Early    G1      Champions Cup                   Chukyo     left       Dirt         1800  Mile       Winter  Day      10000  up, down, up, up
Senior December Early    G2      Stayers Stakes                  Nakayama   right      Turf         3600  Long       Winter  Day       6200  up, up, down, up
Senior December Early    G3      Challenge Cup                   Hanshin    right      Turf         2000  Medium     Winter  Day       4100  down, up, up, down, down, up, up
Senior December Early    G3      Capella Stakes                  Nakayama   right      Dirt         1200  Sprint     Winter  Day       3600  down, up
Senior December Early    G3      Turquoise Stakes                Nakayama   right      Turf         1600  Mile       Winter  Day       3600  down, up
Senior December Early    G3      Chunichi Shimbun Hai            Chukyo     left       Turf         2000  Medium     Winter  Day       4100  up, down, up, up
Senior December Early    OP      Rigel Stakes                    Hanshin    right      Turf         1600  Mile       Winter  Day       2500  down, up
Senior December Early    OP      Shiwasu Stakes                  Nakayama   right      Dirt         1800  Mile       Winter  Day       2300  up, up, down, up
Senior December Early    OP      December Stakes                 Nakayama   right      Turf         1800  Mile       Winter  Day       2600  up, up, down, up, up
Senior December Early    OP      Tanzanite Stakes                Hanshin    right      Turf         1200  Sprint     Winter  Day       2300  down, up
Senior December Early    OP      Lapis Lazuli Stakes             Nakayama   right      Turf         1200  Sprint     Winter  Day       2500  down, up
Senior December Late     G1      Arima Kinen                     Nakayama   right      Turf         2500  Long       Winter  Day      30000  up, up, down, up
Senior December Late     G1      Tokyo Daishoten                 Ooi        right      Dirt         2000  Medium     Winter  Evening   8000  -
Senior December Late     G2      Hanshin Cup                     Hanshin    right      Turf         1400  Sprint     Winter  Day       6700  down, up
Senior December Late     OP      Galaxy Stakes                   Hanshin    right      Dirt         1400  Sprint     Winter  Day       2200  down, up
Senior December Late     OP      Betelgeuse Stakes               Hanshin    right      Dirt         1800  Mile       Winter  Day       2200  up, down, up
Finale Season 1          EX      URA Finals Qualifier            ?          ?          ?               ?  ?          Winter  ?         7000  ?
Finale Season 3          EX      URA Finals Semifinal            ?          ?          ?               ?  ?          Winter  ?        10000  ?
Finale Season 5          EX      URA Finals Final                ?          ?          ?               ?  ?          Winter  ?        30000  ?
Finals ?                 EX      Grand Masters                   ?          ?          ?               ?  ?          ?       ?            ?  ?
Finals ?                 EX      Twinkle Star Climax             ?          ?          ?               ?  ?          ?       ?            ?  ?
